symbol,timestamp,open,high,low,close,volume,adj_close,currency,company_name
005930,2024-01-02 00:00:00,75630.22495288945,77177.6464353015,75630.22495288945,76984.21875,17142847,76984.21875,KRW,삼성전자
005930,2024-01-03 00:00:00,75920.37180397726,76210.51335227273,74469.6640625,74469.6640625,21753644,74469.6640625,KRW,삼성전자
005930,2024-01-04 00:00:00,73599.22770479765,74759.79371328329,73599.22770479765,74082.796875,15324439,74082.796875,KRW,삼성전자
005930,2024-01-05 00:00:00,74179.51070904046,74566.36604520235,73889.36920691906,74082.796875,11304316,74082.796875,KRW,삼성전자
005930,2024-01-08 00:00:00,74469.66299019608,74953.23223039215,73889.37990196078,73986.09375,11088724,73986.09375,KRW,삼성전자
005930,2024-01-09 00:00:00,74856.49981174698,75146.64128388555,71858.37126631525,72245.2265625,26019249,72245.2265625,KRW,삼성전자
005930,2024-01-10 00:00:00,72535.376507303,72728.80417798914,70794.52747112772,71181.3828125,20259529,71181.3828125,KRW,삼성전자
005930,2024-01-11 00:00:00,70504.38194800205,71181.3787568306,70310.95428833675,70794.5234375,57691266,70794.5234375,KRW,삼성전자
005930,2024-01-12 00:00:00,70601.10646802325,71664.95875726744,70407.67877906977,70697.8203125,13038939,70697.8203125,KRW,삼성전자
005930,2024-01-15 00:00:00,70794.52659844384,71568.23727165088,70794.52659844384,71471.5234375,2957915,71471.5234375,KRW,삼성전자
005930,2024-01-16 00:00:00,71084.67458677686,71278.10227272726,70117.53615702479,70214.25,14760415,70214.25,KRW,삼성전자
005930,2024-01-17 00:00:00,70697.81881602113,70891.24650088028,68666.828125,68666.828125,22683660,68666.828125,KRW,삼성전자
005930,2024-01-18 00:00:00,69247.11427824268,69633.96966527197,68376.68965742677,69343.828125,17853397,69343.828125,KRW,삼성전자
005930,2024-01-19 00:00:00,71084.66067394578,72245.2265625,70601.09155371485,72245.2265625,23363427,72245.2265625,KRW,삼성전자
005930,2024-01-22 00:00:00,73405.7965733189,73502.51040279627,72535.37210802264,72632.0859375,19673375,72632.0859375,KRW,삼성전자
005930,2024-01-23 00:00:00,73212.37386760306,73309.08770362366,71858.38016331449,72728.8046875,14786224,72728.8046875,KRW,삼성전자
005930,2024-01-24 00:00:00,72728.81621621622,72728.81621621622,71084.68074324324,71568.25,12860661,71568.25,KRW,삼성전자
005930,2024-01-25 00:00:00,71761.67478491903,72341.9578694332,71278.10554782388,71664.9609375,11737747,71664.9609375,KRW,삼성전자
005930,2024-01-26 00:00:00,71278.10246721731,72051.81321313011,70891.24709426089,70987.9609375,11160062,70987.9609375,KRW,삼성전자
005930,2024-01-29 00:00:00,71374.80298639114,72728.7965389785,71084.6615108367,71955.0859375,13976521,71955.0859375,KRW,삼성전자
005930,2024-01-30 00:00:00,72535.37968960297,72825.52120836137,71278.09977498317,71858.3828125,12244418,71858.3828125,KRW,삼성전자
005930,2024-01-31 00:00:00,70987.95781035075,71568.24084422283,70117.53325954264,70310.9609375,15703560,70310.9609375,KRW,삼성전자
005930,2024-02-01 00:00:00,70601.09980044157,71761.66582455843,70504.38596509851,71181.3828125,19881033,71181.3828125,KRW,삼성전자
005930,2024-02-02 00:00:00,71568.23865525266,72728.8046875,71278.09714719083,72728.8046875,14955881,72728.8046875,KRW,삼성전자
005930,2024-02-05 00:00:00,71761.66897291386,72341.95201043069,71084.6720958109,71858.3828125,19026021,71858.3828125,KRW,삼성전자
005930,2024-02-06 00:00:00,71858.37211231519,72245.22741305444,70891.23386046707,71955.0859375,14559254,71955.0859375,KRW,삼성전자
005930,2024-02-07 00:00:00,72148.5274375,73018.95203125,71858.38590625,72535.3828125,16566445,72535.3828125,KRW,삼성전자
005930,2024-02-08 00:00:00,72535.38556427126,72728.81325910932,71181.39170040486,71664.9609375,20810708,71664.9609375,KRW,삼성전자
005930,2024-02-13 00:00:00,72341.94934341755,72728.8046875,71955.0939993351,72728.8046875,21966745,72728.8046875,KRW,삼성전자
005930,2024-02-14 00:00:00,71278.10844594595,71858.39155405406,71278.10844594595,71568.25,12434945,71568.25,KRW,삼성전자
005930,2024-02-15 00:00:00,71761.6617358265,71955.08939549181,70601.09577783471,70794.5234375,14120600,70794.5234375,KRW,삼성전자
005930,2024-02-16 00:00:00,70891.24891612293,70987.96276184752,70117.53815032623,70407.6796875,13444781,70407.6796875,KRW,삼성전자
005930,2024-02-19 00:00:00,70407.68182588076,71471.53416116192,70407.68182588076,71374.8203125,12726404,71374.8203125,KRW,삼성전자
005930,2024-02-20 00:00:00,71278.1053888131,71278.1053888131,70407.68076398363,70891.25,14681477,70891.25,KRW,삼성전자
005930,2024-02-21 00:00:00,70987.9569135274,71278.09842679795,70504.38772474315,70601.1015625,11503495,70601.1015625,KRW,삼성전자
005930,2024-02-22 00:00:00,71374.8172238372,71471.53106831395,70310.96493459302,70697.8203125,15208934,70697.8203125,KRW,삼성전자
005930,2024-02-23 00:00:00,71181.38751714678,71761.67056755829,70504.390625,70504.390625,16225166,70504.390625,KRW,삼성전자
005930,2024-02-26 00:00:00,69924.11045887705,70794.53507039836,69827.39661315246,70407.6796875,14669352,70407.6796875,KRW,삼성전자
005930,2024-02-27 00:00:00,70697.81830847051,70987.95983367627,70310.96294152949,70504.390625,13201981,70504.390625,KRW,삼성전자
005930,2024-02-28 00:00:00,70504.38194800205,71471.52024632855,70407.6681181694,70794.5234375,11795859,70794.5234375,KRW,삼성전자
005930,2024-02-29 00:00:00,70214.2501915872,70987.9609375,69633.96713215258,70987.9609375,21176403,70987.9609375,KRW,삼성전자
005930,2024-03-04 00:00:00,71858.37328938585,72535.37007676903,71568.23180907877,72438.65625,23210474,72438.65625,KRW,삼성전자
005930,2024-03-05 00:00:00,72148.51823270014,72341.94589552238,71278.09375,71278.09375,19505125,71278.09375,KRW,삼성전자
